Data;Historico;Fech;Var.Dia;Abertura;Minimo;Medio;Maximo;Volume;Negocios
10/02/2017;15,58;15,58;3,52;15,2;15,14;15,41;15,63;685.404.114;46.594
09/02/2017;15,05;15,05;-0,33;15,18;14,96;15,09;15,24;511.618.512;28.440
08/02/2017;15,1;15,1;2,72;14,77;14,27;14,62;15,1;861.209.873;54.174
07/02/2017;14,7;14,7;-1,74;15,1;14,7;14,88;15,16;434.009.614;25.002
06/02/2017;14,96;14,96;-2,48;15,38;14,95;15,18;15,47;450.522.285;52.583
03/02/2017;15,34;15,34;3,02;14,92;14,77;15,16;15,34;609.655.914;40.870
02/02/2017;14,89;14,89;-0,87;14,99;14,86;15,03;15,28;590.933.188;37.746
01/02/2017;15,02;15,02;0;15,26;14,91;15,12;15,41;544.015.805;32.237
31/01/2017;15,02;15,02;1,21;14,99;14,9;15,14;15,37;466.453.226;37.108
30/01/2017;14,84;14,84;-4,99;15,51;14,84;15,11;15,53;404.592.675;41.856
27/01/2017;15,62;15,62;-1,14;15,73;15,54;15,68;15,87;364.881.549;30.818
26/01/2017;15,8;15,8;-1,5;16,15;15,8;15,97;16,19;597.099.756;41.385
25/01/2017;16,04;16,04;0;16,04;16,04;16,04;16,04;;0
24/01/2017;16,04;16,04;0,31;16,12;15,97;16,21;16,43;805.622.019;50.520
23/01/2017;15,99;15,99;-0,06;15,94;15,79;15,97;16,09;401.372.150;27.681
20/01/2017;16;16;1,46;15,84;15,81;16,02;16,19;558.667.203;37.513
19/01/2017;15,77;15,77;-0,13;15,82;15,58;15,77;15,88;341.918.356;20.572
18/01/2017;15,79;15,79;-0,19;15,8;15,71;15,83;15,93;391.422.264;24.053
17/01/2017;15,82;15,82;0,44;15,73;15,72;15,88;15,97;455.286.006;24.438
16/01/2017;15,75;15,75;0,45;15,7;15,58;15,7;15,75;315.096.558;13.728
13/01/2017;15,68;15,68;-1,38;15,77;15,57;15,7;15,95;540.794.917;30.285
12/01/2017;15,9;15,9;1,53;16,15;15,9;16,04;16,25;800.242.399;43.412
11/01/2017;15,66;15,66;1,16;15,64;15,27;15,52;15,68;533.930.096;27.680
10/01/2017;15,48;15,48;0,98;15,6;15,39;15,56;15,68;408.290.348;31.187
09/01/2017;15,33;15,33;-2,11;15,5;15,33;15,46;15,6;395.853.062;20.548
06/01/2017;15,66;15,66;-0,57;15,78;15,5;15,68;15,92;401.383.340;28.712
05/01/2017;15,75;15,75;1,61;15,7;15,62;15,77;15,91;750.416.010;34.266
04/01/2017;15,5;15,5;0;15,45;15,31;15,5;15,68;574.660.470;32.250
03/01/2017;15,5;15,5;5,73;14,95;14,95;15,36;15,65;613.726.454;37.364
02/01/2017;14,66;14,66;-1,41;14,64;14,6;14,65;14,7;110.251.594;6.897
29/12/2016;14,87;14,87;0,61;14,85;14,52;14,73;14,88;266.439.891;19.721
28/12/2016;14,78;14,78;2,57;14,43;14,36;14,63;14,81;277.762.881;20.265
27/12/2016;14,41;14,41;-0,07;14,5;14,26;14,42;14,55;215.534.672;13.617
26/12/2016;14,42;14,42;1,26;14,32;14,27;14,39;14,45;82.501.537;4.840
23/12/2016;14,24;14,24;1,64;14,05;14,01;14,2;14,35;309.168.316;23.100
22/12/2016;14,01;14,01;-2,3;14,46;14,01;14,11;14,46;596.031.940;30.722
21/12/2016;14,34;14,34;-0,07;14,45;14,04;14,29;14,48;469.597.065;28.238
20/12/2016;14,35;14,35;-0,07;14,46;14,1;14,34;14,59;456.286.610;29.668
19/12/2016;14,36;14,36;-2,71;14,88;14,35;14,61;14,89;571.619.699;27.841
16/12/2016;14,76;14,76;-0,61;14,9;14,76;14,9;15,14;564.261.035;25.998
15/12/2016;14,85;14,85;0,75;14,78;14,33;14,62;14,91;633.622.634;51.635
14/12/2016;14,74;14,74;-4,6;15,43;14,74;15,09;15,47;667.048.842;45.559
13/12/2016;15,45;15,45;-0,96;15,55;15,38;15,54;15,69;519.764.575;38.294
12/12/2016;15,6;15,6;0,13;15,79;15,48;15,72;15,95;557.199.702;35.529
09/12/2016;15,58;15,58;-0,76;15,88;15,52;15,72;15,9;584.126.379;29.722
